bus_id,phase,scenario,p_pu,q_pu
B97,c,h038,-0.0026880000000000003,-0.0005458216797842034
B100,a,h038,-0.004608,-0.0009356943082014914
B13,a,h039,-0.00192,-0.00038987262841728813
B26,c,h039,-0.001152,-0.00023392357705037285
B27,c,h039,-0.001152,-0.00023392357705037285
B29,c,h039,-0.000768,-0.00015594905136691523
B30,c,h039,-0.001536,-0.00031189810273383046
B32,c,h039,-0.001152,-0.00023392357705037285
B40,a,h039,0.013824,-0.00038987262841728846
B52,c,h039,-0.003456,-0.0007017707311511186
B61,c,h039,-0.000384,-7.797452568345762e-5
B78,c,h039,-0.001152,-0.00023392357705037285
B79,c,h039,-0.002304,-0.0004678471541007457
B80,c,h039,-0.001152,-0.00023392357705037285
B85,a,h039,-0.00192,-0.00038987262841728813
B86,a,h039,-0.000768,-0.00015594905136691523
B91,a,h039,-0.000768,-0.00015594905136691523
B94,b,h039,-0.00576,-0.0011696178852518642
B95,b,h039,-0.005376000000000001,-0.0010916433595684067
B97,c,h039,-0.002304,-0.0004678471541007457
B100,a,h039,-0.00384,-0.0007797452568345763
B13,a,h040,-0.002304,-0.0004678471541007457
B26,c,h040,-0.001536,-0.00031189810273383046
B27,c,h040,-0.001152,-0.00023392357705037285
B29,c,h040,-0.000768,-0.00015594905136691523
B32,c,h040,-0.001152,-0.00023392357705037285
B40,a,h040,0.0072959999999999995,-0.0003898726284172882
B52,c,h040,-0.003456,-0.0007017707311511186
B61,c,h040,-0.000384,-7.797452568345762e-5
B78,c,h040,-0.005376000000000001,-0.0010916433595684067
B79,c,h040,-0.000384,-7.797452568345762e-5
B80,c,h040,-0.000768,-0.00015594905136691523
B85,a,h040,-0.001536,-0.00031189810273383046
B86,a,h040,-0.000384,-7.797452568345762e-5
B91,a,h040,-0.00192,-0.00038987262841728813
B94,b,h040,-0.006144,-0.0012475924109353219
B95,b,h040,-0.00576,-0.0011696178852518642
B97,c,h040,-0.006912,-0.0014035414623022372
B100,a,h040,-0.00384,-0.0007797452568345763
B13,a,h041,-0.0026880000000000003,-0.0005458216797842034
B26,c,h041,-0.00576,-0.0011696178852518642
B27,c,h041,-0.001152,-0.00023392357705037285
B29,c,h041,-0.001152,-0.00023392357705037285
B30,c,h041,-0.00192,-0.00038987262841728813
B32,c,h041,-0.004224,-0.0008577197825180339
B40,a,h041,0.00192,-0.00038987262841728813
B52,c,h041,-0.004992,-0.001013668833884949
B78,c,h041,-0.004992,-0.001013668833884949
B79,c,h041,-0.003456,-0.0007017707311511186
B80,c,h041,-0.003072,-0.0006237962054676609
B85,a,h041,-0.002304,-0.0004678471541007457
